artobject_id,db_title,youtube_title,old_video_id,old_url,new_video_id,new_url,new_title,action
1851,105 / DIE FUNDAZIUN DA VAZ – Ein Einblick,Fundaziun Da Vaz – Ein Einblick,mlPRxM0RY3E,https://www.youtube.com/watch?v=mlPRxM0RY3E,SDyTrVeEsPM,https://www.youtube.com/watch?v=SDyTrVeEsPM,Fundaziun Da Vaz – Ein Einblick (Enhanced 4K),REPLACE
1310,052c / Itzhak Frey és Fia,ISRAEL / ITZHAK FREY & FIA (Hungarian Edition),MpZicz5Nkrg,https://www.youtube.com/watch?v=MpZicz5Nkrg,IznuQhn_t2Y,https://www.youtube.com/watch?v=IznuQhn_t2Y,ISRAEL / ITZHAK FREY &amp; FIA (Hungarian Edition) (Enhanced 4K),REPLACE
1723,052a Jerusalem / David Frey / Kinderheitserrinnerungen,052af David Frey / Kindheitserinnerungen,aV-BtCv_vzs,https://www.youtube.com/watch?v=aV-BtCv_vzs,vERRoJWRv18,https://www.youtube.com/watch?v=vERRoJWRv18,052af David Frey / Kindheitserinnerungen (Enhanced 4K),REPLACE
1312,038b / Ifjú FARKAS,038b IFJU FARKAS / Smolensk - H,L8kk5d87jnk,https://www.youtube.com/watch?v=L8kk5d87jnk,SfDAt_cFJ9E,https://www.youtube.com/watch?v=SfDAt_cFJ9E,038b IFJU FARKAS / Smolensk - H (Enhanced 4K),REPLACE
1313,003 / Moscow / TRAPPED REALITY,TRAPPED REALITY - Short Stories from Moscow,T0Z6t9zG0rw,https://www.youtube.com/watch?v=T0Z6t9zG0rw,KCq96qHRcqE,https://www.youtube.com/watch?v=KCq96qHRcqE,TRAPPED REALITY - Short Stories from Moscow (Enhanced 4K),REPLACE
1315,049c / LIEBE ANNA,049c Liebe Anna - H,UExLHdyGfwA,https://www.youtube.com/watch?v=UExLHdyGfwA,5J00iElePW8,https://www.youtube.com/watch?v=5J00iElePW8,049c Liebe Anna - H (Enhanced 4K),REPLACE
1316,030b / ALICE CSODAORSZAGBAN,030b ALICE CSODAORSZAGBAN - H,nACZdLod2mU,https://www.youtube.com/watch?v=nACZdLod2mU,peCYCFB38fU,https://www.youtube.com/watch?v=peCYCFB38fU,030b ALICE CSODAORSZAGBAN - H (Enhanced 4K),REPLACE
1319,059b / Kamcsatka - Az eltűnt falu,059b / KRAPIVNAJA - LOST in TRANSITION - R/Hsub,yRT12zdB0V4,https://www.youtube.com/watch?v=yRT12zdB0V4,OnkDQ1TiitA,https://www.youtube.com/watch?v=OnkDQ1TiitA,059b / KRAPIVNAJA - LOST in TRANSITION - R/Hsub (Enhanced 4K),REPLACE
1320,039b / KAZAKH TV/DaVaz - K/R,039b Kazakh Television / Interview - R,ouzpBuJuCJk,https://www.youtube.com/watch?v=ouzpBuJuCJk,jZMwVvnUz4Q,https://www.youtube.com/watch?v=jZMwVvnUz4Q,039b Kazakh Television / Interview - R (Enhanced 4K),REPLACE
1340,058b / HAMAS – RISE to POWER,(not found),a71tMDi4LWo,https://www.youtube.com/watch?v=a71tMDi4LWo,,,,SKIP (video not found)
